audio_base,effect_key,variant_idx,variant_path,original_transcript,noisy_transcript,word_error_rate,character_similarity,word_overlap,length_ratio,intent_preserved,intent_confidence,semantic_similarity,noise_impact_severity,intent_category,error_types,critical_words_affected,effect_params
live_simple_84-45-0_openai,background_noise_all,pink_noise_db-15,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_pink_noise_db-15.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/pink_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,brown_noise_db-5,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_brown_noise_db-5.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/brown_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,white_noise_db-5,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_white_noise_db-5.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/white_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,white_noise_db-15,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_white_noise_db-15.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/white_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,pink_noise_db0,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_pink_noise_db0.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Well, you know what? We don't have to do this. What's the last thing we're going to do before she asks for it?",1.3571428571428572,0.4639175257731959,0.12903225806451613,1.3095238095238095,False,0.1,0.2,high,question,transcription_degradation;word_substitution;entity_confusion;command_confusion;semantic_drift,Mr. Gates;latitude and longitude;Seattle,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/pink_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,pink_noise_db-5,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_pink_noise_db-5.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where are Mr. Gateworks? What's the latitude and longitude for Seattle?",0.21428571428571427,0.9529411764705882,0.75,1.0238095238095237,True,0.9,0.95,low,question,word_substitution;entity_confusion,Mr. Gates,"{""noise_level"": -5, ""noise_file"": ""background_noise/noise/pink_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,brown_noise_db-15,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_brown_noise_db-15.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": -15, ""noise_file"": ""background_noise/noise/brown_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,white_noise_db0,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_white_noise_db0.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where is Mr. Japsot? What's the latitude and longitude for Seattle?",0.21428571428571427,0.891566265060241,0.75,0.9761904761904762,False,0.7,0.9,medium,question,word_substitution;entity_confusion,Mr. Gates;Mr. Japsot,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/white_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,brown_noise_db0,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_brown_noise_db0.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/brown_noise.wav""}"
live_simple_84-45-0_openai,background_noise_all,car_outside_5_db0,audio_comparison_outputs/live_simple_84-45-0_openai/background_noise_all/live_simple_84-45-0_openai_background_noise_all_car_outside_5_db0.mp3,"Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?","Hey, you know, where Mr. Gates works, what's the latitude and longitude for Seattle?",0.0,1.0,1.0,1.0,True,1.0,1.0,low,question,no_significant_impact,,"{""noise_level"": 0, ""noise_file"": ""background_noise/noise/car_outside_5.webm""}"
